国家	货币	货币代码	编号
SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS "SUCRE"	苏克雷	XSU	994
不丹	努扎姆	BTN	064
不丹	印度卢比	INR	356
中国	人民币元	CNY	156
中国澳门	澳元	MOP	446
中国香港	港元	HKD	344
中非共和国	多哥非洲共同体法郎	XAF	950
丹麦	丹麦克朗	DKK	208
乌克兰	格里夫尼亚	UAH	980
乌兹别克斯坦	乌兹别克斯坦萨	UZS	860
乌干达	乌干达先令	UGX	800
乌拉圭	乌拉圭比索	UYI	940
乌拉圭	乌拉圭比索	UYU	858
乍得	多哥非洲共同体法郎	XAF	950
也门	也门里亚尔	YER	886
亚美尼亚	亚美尼亚德拉姆	AMD	051
以色列	新谢克尔	ILS	376
伊拉克	伊拉克第纳尔	IQD	368
伊朗(伊斯兰共和国)	伊朗里亚尔	IRR	364
伯兹瓦纳	普拉	BWP	072
伯利兹城	伯利兹元	BZD	084
俄罗斯联邦	俄罗斯卢布	RUB	643
保加利亚	保加利亚列瓦	BGN	975
克罗地亚	库纳	HRK	191
关岛	美元	USD	840
冈比亚	达拉西	GMD	270
冰岛	冰岛克朗	ISK	352
几内亚	几内亚法郎	GNF	324
几内亚比绍	多哥非洲共同体法郎	XOF	952
列支敦士顿	瑞士法郎	CHF	756
刚果	多哥非洲共同体法郎	XAF	950
刚果（刚果民主共和国）	刚果法郎	CDF	976
利比亚	利比亚第纳尔	LYD	434
利比里亚	利比里亚元	LRD	430
加拿大	加元	CAD	124
加纳	加纳赛地	GHS	936
加蓬	多哥非洲共同体法郎	XAF	950
匈牙利	福林	HUF	348
北马里亚纳群岛	美元	USD	840
南乔治亚岛和南桑威奇群岛	无统一货币		
南极洲	无统一货币		
南苏丹	南苏丹镑	SSP	728
南非	兰特	ZAR	710
博内尔、圣尤斯塔提乌斯和萨巴	美元	USD	840
卡塔尔	卡塔尔里亚尔	QAR	634
卢旺达	卢旺达法郎	RWF	646
卢森堡	欧元	EUR	978
印度	印度卢比	INR	356
印度尼西亚	卢比	IDR	360
危地马拉	格查尔	GTQ	320
厄瓜多尔	美元	USD	840
厄立特里亚国	纳法克	ERN	232
古	可兑换比索	CUC	931
古巴	古巴比索	CUP	192
台湾 (中国的一个省份)	新台币元	TWD	901
吉尔吉斯斯坦	索姆	KGS	417
吉布提	吉布提法郎	DJF	262
哈萨克斯坦	腾格	KZT	398
哥伦比亚	哥伦比亚比索	COP	170
哥伦比亚	哥伦比亚Unidad de Valor Real	COU	970
哥斯达尼加	哥斯达尼家科朗	CRC	188
喀麦隆	多哥非洲共同体法郎	XAF	950
国际货币基金组织（IMF） 	SDR (特别提款权）	XDR	960
图瓦卢	澳元	AUD	036
土库曼斯坦	土库曼斯坦新马纳特	TMT	934
土耳其	土耳其里拉	TRY	949
圣卢西亚岛	东加勒比元	XCD	951
圣基茨和尼维斯	东加勒比元	XCD	951
圣多美与普林希比共和国	多布拉	STN	930
圣巴托罗缪岛	欧元	EUR	978
圣文森特和格林纳丁斯	东加勒比元	XCD	951
圣皮埃尔和密克隆群岛	欧元	EUR	978
圣诞岛	澳元	AUD	036
圣赫勒拿、阿森松与特里斯坦达库尼亚	圣赫勒拿镑	SHP	654
圣马丁（法属）	欧元	EUR	978
圣马丁（荷属）	荷属安的列斯盾	ANG	532
圣马力诺	欧元	EUR	978
圭亚那	圭亚那元	GYD	328
坦桑尼亚，联合共和国	坦桑尼亚先令	TZS	834
埃及	埃及镑	EGP	818
埃塞俄比亚	埃塞俄比亚比尔	ETB	230
基里巴斯	澳元	AUD	036
塔吉克斯坦	索摩尼	TJS	972
塞内加尔	多哥非洲共同体法郎	XOF	952
塞尔维亚	塞尔维亚第纳尔	RSD	941
塞拉利昂	利昂	SLL	694
塞浦路斯	欧元	EUR	978
塞舌尔	塞舌尔卢比	SCR	690
墨西哥	墨西哥比索	MXN	484
墨西哥	墨西哥基金（UDI）	MXV	979
多哥	多哥非洲共同体法郎	XOF	952
多米尼加	东加勒比元	XCD	951
多米尼加共和国	多米尼加比索	DOP	214
大不列颠及北爱尔兰联合王国	英镑	GBP	826
奥兰群岛	欧元	EUR	978
奥地利	欧元	EUR	978
委内瑞拉玻利瓦尔共和国	玻利瓦尔	VEF	937
孟加拉国	塔卡	BDT	050
安哥拉	宽扎	AOA	973
安奎拉	东加勒比元	XCD	951
安提瓜和巴布达	东加勒比元	XCD	951
安道尔	欧元	EUR	978
密克罗尼西亚联邦	美元	USD	840
尼加拉瓜	尼加拉瓜新科多巴	NIO	558
尼日利亚	奈拉	NGN	566
尼日尔	多哥非洲共同体法郎	XOF	952
尼泊尔	尼泊尔卢比	NPR	524
巴勒斯坦国	无统一货币		
巴哈马群岛	巴哈马元	BSD	044
巴基斯坦	巴基斯坦卢比	PKR	586
巴巴多斯	巴巴多斯元	BBD	052
巴布亚新几内亚	基那	PGK	598
巴拉圭	瓜拉尼	PYG	600
巴拿马	巴波亚	PAB	590
巴拿马	美元	USD	840
巴林	巴林第纳尔	BHD	048
巴西	巴西雷亚尔	BRL	986
布基纳法索	多哥非洲共同体法郎	XOF	952
布维岛	挪威克朗	NOK	578
布隆迪	布隆迪法郎	BIF	108
希腊	欧元	EUR	978
帕劳	美元	USD	840
帝汶-莱斯特	美元	USD	840
库克群岛	新西兰元	NZD	554
库拉索岛	荷属安的列斯盾	ANG	532
开曼群岛	开曼群岛元	KYD	136
德国	欧元	EUR	978
意大利	欧元	EUR	978
所罗门群岛	所罗门群岛元	SBD	090
托克劳	新西兰元	NZD	554
拉脱维亚	欧元	EUR	978
挪威	挪威克朗	NOK	578
捷克共和国	捷克克朗	CZK	203
摩尔多瓦共和国	摩尔多瓦尼乌	MDL	498
摩洛哥	摩洛哥迪拉姆	MAD	504
摩纳哥	欧元	EUR	978
文莱达鲁萨兰国	文莱元	BND	096
斐济	斐济元	FJD	242
斯威士兰	里兰基尼	SZL	748
斯洛伐克	欧元	EUR	978
斯洛文尼亚	欧元	EUR	978
斯瓦尔巴群岛	挪威克朗	NOK	578
斯里兰卡	斯里兰卡卢比	LKR	144
新加坡	新加坡元	SGD	702
新喀里多尼亚	非洲金融共同体法郎	XPF	953
新西兰	新西兰元	NZD	554
日本	日元	JPY	392
智利	智利资金	CLF	990
智利	智利比索	CLP	152
朝鲜 (朝鲜民主共和国’S)	朝鲜圆	KPW	408
柬埔寨	瑞尔	KHR	116
格恩西岛	英镑	GBP	826
格林纳达	东加勒比元	XCD	951
格陵兰岛	丹麦克朗	DKK	208
格鲁吉亚	拉里	GEL	981
梵蒂冈	欧元	EUR	978
欧盟	欧元	EUR	978
比利时	欧元	EUR	978
毛里塔尼亚	乌吉亚	MRU	929
毛里求斯	毛里求斯卢比	MUR	480
汤加	潘加’	TOP	776
沙特阿拉伯	沙特里亚尔	SAR	682
法国	欧元	EUR	978
法属南部领土	欧元	EUR	978
法属圭亚那	欧元	EUR	978
法属玻利尼西亚	非洲金融共同体法郎	XPF	953
法罗群岛	丹麦克朗	DKK	208
波兰	兹罗提	PLN	985
波多尼哥	美元	USD	840
波斯尼亚和黑塞哥维那	可兑换马克	BAM	977
泰国	泰铢	THB	764
泽西岛	英镑	GBP	826
津巴布韦	津巴布韦元	ZWL	932
洪都拉斯	伦皮拉	HNL	340
海地	古德	HTG	332
海地	美元	USD	840
澳大利亚	澳元	AUD	036
